Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,44.43,0,0
74.25,41.38,0,0.0
145.58,45.08,0,-3.05
375.86,42.42,3.7,-3.05
433.57,34.7,3.7,-5.71
529.01,32.47,3.7,-13.43
644.13,38.66,3.7,-15.66
728.58,36.05,9.89,-15.66
810.12,31.48,9.89,-18.27
884.57,28.6,9.89,-22.84
968.85,25.95,9.89,-25.72
1070.07,26.69,9.89,-28.37
1132.3,26.47,10.63,-28.37
1199.08,27.2,10.63,-28.59
1322.68,32.51,11.36,-28.59
1403.85,33.38,16.67,-28.59
1523.72,36.93,17.54,-28.59
1595.99,38.15,21.09,-28.59
1722.42,37.13,22.31,-28.59
1786.77,35.79,22.31,-29.61
1866.99,36.62,22.31,-30.95
1996.74,36.69,23.14,-30.95
2141.45,30.73,23.21,-30.95
2417.58,32.04,23.21,-36.91
2456.02,32.36,24.52,-36.91
2510.83,31.65,24.84,-36.91
2567.98,29.85,24.84,-37.62
2718.27,30.73,24.84,-39.42
2763.03,33.96,25.72,-39.42
2999.73,40.85,28.95,-39.42
3048.31,42.39,35.84,-39.42
3146.6,40.78,37.38,-39.42
3211.31,36.81,37.38,-41.03
3273.8,31.75,37.38,-45.0
3404.59,26.74,37.38,-50.06
3481.36,29.8,37.38,-55.07
3554.19,30.01,40.44,-55.07
3601.44,28.41,40.65,-55.07
3675.97,26.05,40.65,-56.67
3753.35,23.07,40.65,-59.03
3832.63,22.65,40.65,-62.01
3921.27,28.39,40.65,-62.43
4011.95,37.73,46.39,-62.43
4106.06,35.33,55.73,-62.43
4202.37,23.67,55.73,-64.83
4284.66,10.9,55.73,-76.49
4370.47,11.5,55.73,-89.26
4467.91,19.34,56.33,-89.26
4527.17,19.95,64.17,-89.26
4604.62,24.38,64.78,-89.26
4653.32,26.76,69.21,-89.26
4682.44,26.41,71.59,-89.26
4728.24,26.29,71.59,-89.61
4783.67,24.28,71.59,-89.73
4905.24,27.18,71.59,-91.74
4964.5,26.78,74.49,-91.74
5042.06,24.65,74.49,-92.14
5326.36,30.84,74.49,-94.27
5493.09,32.23,80.68,-94.27
5574.26,32.86,82.07,-94.27
5659.66,30.67,82.7,-94.27
5759.53,36.16,82.7,-96.46
5845.85,38.0,88.19,-96.46
5933.14,39.59,90.03,-96.46
6035.59,38.91,91.62,-96.46
6100.92,36.62,91.62,-97.14
6160.79,39.99,91.62,-99.43
6226.64,39.65,94.99,-99.43
6288.94,38.81,94.99,-99.77
6358.37,40.16,94.99,-100.61
6405.89,42.35,96.34,-100.61
6640.06,43.64,98.53,-100.61
6817.0,56.17,99.82,-100.61
6982.27,52.48,112.35,-100.61
7069.36,49.88,112.35,-104.3
7216.02,43.7,112.35,-106.9
7364.09,33.39,112.35,-113.08
7452.47,30.46,112.35,-123.39
7619.47,28.41,112.35,-126.32
